year,accidents,deaths,injuries
2007,211662,6166,335906
2008,215822,5870,338962
2009,231990,5838,361875
2010,226878,5505,352458
2011,221711,5229,341391
2012,223656,5392,344565
2013,215354,5092,328711
2014,223552,4762,337497
2015,232035,4621,350400
2016,220917,4292,331720
2017,216335,4185,322829
2018,217148,3781,323037
2019,229600,3349,341712
2020,209654,3081,306194
2021,203130,2916,291608
2022,196836,2735,281803
2023,198296,2551,283799
